"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2019,2,"ENGENHARIA MECÂNICA","MUDANCA DE CURSO"
2019,2,"PEDAGOGIA (DIURNO)","SELEÇÃO SISU"
2018,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2019,1,"FILOSOFIA","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2019,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2018,2,"MEDICINA - SOBRAL","SELEÇÃO SISU"
2018,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,2,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2018,2,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2019,1,"AGRONOMIA","SELEÇÃO SISU"
2018,2,"GEOLOGIA","SELEÇÃO SISU"
2018,2,"FILOSOFIA","SELEÇÃO SISU"
2019,1,"DANÇA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"QUÍMICA - LICENCIATURA","SELEÇÃO SISU"
2018,2,"HISTÓRIA","SELEÇÃO SISU"
2019,1,"AGRONOMIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PRODUÇÃO","SELEÇÃO SISU"
2019,1,"ESTATÍSTICA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2018,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2019,1,"GEOLOGIA","MUDANCA DE CURSO"
2018,2,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2019,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","MUDANCA DE CURSO"
2019,1,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,1,"DIREITO (DIURNO)","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","SELEÇÃO SISU"
2019,2,"FARMÁCIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2018,2,"COMUNICAÇÃO SOCIAL - JORNALISMO","SELEÇÃO SISU"
2019,1,"PSICOLOGIA","SELEÇÃO SISU"
2019,2,"SECRETARIADO EXECUTIVO","MUDANCA DE CURSO"
